Data do início da análise,Campus,Nome completo do avaliador do processo CAR,Nome completo do orientador Ifes,Nome completo do ponto focal Idaf,Código Edocs,Processo florestal nº,Código do empreendimento nº,Município,Meta de prazo de encaminhamento do processo,Status,Motivo da notificação ao proprietário (se aplicável),Detalhamento da Notificação (Outros - Descrever),Data da ultima atualização de status
30/10/25,Alegre,Jeferson Luiz Ferrari,Jeferson Luiz Ferrari,Nathale Bicalho Corrêa Dalvi,2025-V4FDJ,5285/2015,37674,Alegre,,01 - Digitalizado e Autuado,,,
30/10/25,Alegre,Jeferson Luiz Ferrari,Jeferson Luiz Ferrari,Nathale Bicalho Corrêa Dalvi,2025-8W88J,23341/2018,600375,Alegre,,01 - Digitalizado e Autuado,,,
30/10/25,Alegre,Jeferson Luiz Ferrari,Jeferson Luiz Ferrari,Nathale Bicalho Corrêa Dalvi,2025-TK4FV,3720/2021,615292,Alegre,,01 - Digitalizado e Autuado,,,
30/10/25,Alegre,Jeferson Luiz Ferrari,Jeferson Luiz Ferrari,Nathale Bicalho Corrêa Dalvi,2025-T9990,7059/2021,615827,Alegre,,01 - Digitalizado e Autuado,,,
31/10/25,Alegre,Jeferson Luiz Ferrari,Jeferson Luiz Ferrari,Nathale Bicalho Corrêa Dalvi,2025-MBPTR,9413/2024,632258,Alegre,,01 - Digitalizado e Autuado,,,
11/11/25,Alegre,Jeferson Luiz Ferrari,Jeferson Luiz Ferrari,Nathale Bicalho Corrêa Dalvi,2025-D70D4,13657/2024,633247,Alegre,,01 - Digitalizado e Autuado,,,
11/11/25,Alegre,Jeferson Luiz Ferrari,Jeferson Luiz Ferrari,Nathale Bicalho Corrêa Dalvi,2025-2K0LW,16965/2024,633910,Alegre,,01 - Digitalizado e Autuado,,,
31/10/25,Alegre,Jeferson Luiz Ferrari,Jeferson Luiz Ferrari,Nathale Bicalho Corrêa Dalvi,2025-91H5X,12423/2022,622206,Atílio Vivacqua,,01 - Digitalizado e Autuado,,,
15/10/25,Alegre,Jeferson Luiz Ferrari,Jeferson Luiz Ferrari,Nathale Bicalho Corrêa Dalvi,2025-V7893,23710/2015,51371,Divino de São Lourenço,,01 - Digitalizado e Autuado,,,
16/10/25,Alegre,Jeferson Luiz Ferrari,Jeferson Luiz Ferrari,Nathale Bicalho Corrêa Dalvi,2025-F7N5K,24259/2015,51821,Divino de São Lourenço,,01 - Digitalizado e Autuado,,,
